story,url,title,descr
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/premier-league/2018-2019/story_sto7163582.shtml,«Манчестер Сити» раздаст болельщицам тампоны и прокладки в рамках благотворительной акции,Старт кампании намечен на игру с «Вест Хэмом».
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/russian-premier-league/2018-2019/story_sto7163560.shtml,«Ни один хозяин не пойдет на поводу у нищебродов». На сайте «Спартака» оскорбили фанатов клуба,В красно-белой среде случился новый конфликт.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/bundesliga/2018-2019/story_sto7163407.shtml,"Bild: «Бавария» договорилась о переходе Тимо Вернера либо летом 2019-го, либо бесплатно в 2020-м",Мюнхенцы планируют серьезное укрепление.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/ligue-1/2018-2019/story_sto7163182.shtml,"Ты пересмотришь это видео 256 раз, но не поймешь, как Фабрегас выдал такой пас на Головина",Запрещенная магия.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/copa-del-rey/2018-2019/story_sto7163172.shtml,Игрок «Реала» Винисиус: «Мы не боимся игрока «Барселоны» Лионеля Месси»,А следовало бы.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/russian-premier-league/2018-2019/story_sto7163159.shtml,Адвокат жены Глушакова: «Просим оставить за Дарьей квартиру и помещение для клиники»,Губа не дура.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/serie-a/2018-2019/story_sto7163137.shtml,"Жена Икарди Ванда Нара: «Я творю революцию в мире мачо, но с Мауро у нас все прекрасно»",Ванда опровергла слухи о разладе.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/copa-del-rey/2018-2019/story_sto7162978.shtml,"«Реал» ослаб без Роналду, но главный герой мадридцев – Рамос. Серхио вырос идеальным лидером",Капитан ведет «бланкос» к четвертой ЛЧ подряд.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/eredivisie/2018-2019/story_sto7163088.shtml,Игрок «Витесса» Мартин Эдегор лидирует в Эредивизи по созданным моментам,Слуцкий выращивает легенду.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/premier-league/2018-2019/story_sto7163101.shtml,"В феврале Алли засекли в компании одной красотки. 10 фотодоказательств, что у Деле есть вкус",Парню везет.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/afc-cup/2019/story_sto7163034.shtml,Страшнейшая пушка игрока «Ха Hоя» – судья даже не сразу засчитал гол,Положил на славу.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/copa-del-rey/2018-2019/story_sto7162756.shtml,«Реал» Мадрид – «Барселона»: перед Класико в ответном полуфинале Кубка Испании,Решающая битва за финал Кубка Короля.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/premier-league/2018-2019/story_sto7162999.shtml,"Юрген Клопп: «Пока Роджерс не в «Эвертоне», я спокоен. Иначе придется съехать из его дома»",У тренеров есть еще и практические взаимоотношения.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/otp-bank-liga/2018-2019/story_sto7162973.shtml,Перфекционист из Венгрии идеально засадил с центра поля,Шедевр из Венгрии.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/copa-del-rey/2018-2019/story_sto7162918.shtml,"«Нет блата и взяток, как в России». В 2009-м в «Барсу» уехал русский защитник – он идет путем Альбы",Роман Тугаринов уже выигрывал юношескую Лигу чемпионов и бегал за сборную Каталонии.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/campeonato-banco-popular-1/2018-2019/story_sto7162959.shtml,"Защитник и вратарь столкнулись, как Заболотный с манекеном, и соорудили дикий автогол",Крайне нелепо.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/liga/2018-2019/story_sto7162937.shtml,"Антуан Гризманн: «Больше переживаю за достижения в Fortnite, чем в моментах перед воротами»",Четко расставил приоритеты.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/bundesliga/2018-2019/story_sto7162919.shtml,«Боруссия» проведет бесплатный курс похудения для фанатов с ожирением,Достойная инициатива.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/coupe-de-france/2018-2019/story_sto7162909.shtml,Ди Мария умчался как электричка на рандеву с вратарем и элегантным парашютом перебросил бедолагу,Радость для глаз.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/ligue-1/2018-2019/story_sto7162896.shtml,"Неймар показал все свои кубики, поднимая штангу, а затем по-собачьи поплавал в бассейне",Бразилец стремится набрать форму побыстрее.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/league-one/2018-2019/story_sto7162892.shtml,"«Питерборо» разорвет контракт с игроком, не пустившим допинг-офицеров из-за употребления кокаина",Белая дорожка не довела до добра Джоша Йорверта.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/premier-league/2018-2019/story_sto7162718.shtml,"Крышесносный гол Фабиана из «Ньюкасла» Шера, которому ты поставишь лайк и сделаешь шер",У вратаря «Бёрнли» не было шансов.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/coupe-de-france/2018-2019/live_mtc1082301.shtml,Онлайн ПСЖ - Дижон - Кубок Франции - 26 февраля 2019,Встреча Кубок Франции между Пари Сен-Жермен - Дижон в прямой трансляции на Eurosport.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/coppa-italia/2018-2019/live_mtc1054905.shtml,Онлайн Лацио - Милан - Кубок Италии - 26 февраля 2019,Встреча Кубок Италии между Лацио - Милан в прямой трансляции на Eurosport.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/champions-league/2018-2019/story_sto7162728.shtml,Дисциплинарный комитет УЕФА рассмотрит дело об умышленной желтой Серхио Рамоса в матче ЛЧ,За мирового лидера по нарушениям серьезно принялись.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/premier-league/2018-2019/story_sto7162702.shtml,Давид де Хеа отклонил новый контракт «МЮ» с зарплатой более 400 тысяч евро в неделю,Никак не умаслят испанца.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/serie-a/2018-2019/story_sto7162672.shtml,"Вратарь Эмиль Аудеро, сыгравший в «Ювентусе» 1 матч за 4 года, перешел в «Сампдорию» за 20 млн евро",Вот это трансфер. Вот это ценник.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/serie-a/2018-2019/story_sto7162656.shtml,Криштиану Роналду откроет в Мадриде центр по пересадке волос – это будет бизнес Джорджины Родригес,А какие подарки для любимой делаете вы?
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/russian-premier-league/2018-2019/story_sto7162641.shtml,«Дело будет громче распри Глушакова». В семье Новосельцева и Кейру возник конфликт из-за имущества,"Похоже, все довольно серьезно."
